,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency,163_number_high_perishable_products,_updated_by,_geometry,232_type_of_store,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_,pictures_of_shelves_if_possible,hola_somos_estudiantes_del_tec_de_monterrey_estamos_realiz,le_comento_que_toda_esta_informacin_es_confidencial,233_date_establishment,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,19_tax_id,310_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,269_cash_discount,270_card_extra_charge,214_customer_relationship_tools,33_credit_to_customers,35_interest_rate,38_average_margin_profits,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,66_percentaje_services_income,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,56_procurement_changes_pandemic,279_changes_procurement_pandemic,157_frequency_organize_shelves,158_charact_organize_products_on_shelves,161_actions_stockouts,162_inventory_extra_space,249_technology_training,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap,260_technology_scalable,261_technology_organization
41,19.018353,-98.215619,2.0,4.0,8.0,0.0,0.0,0.0,3.0,7.0,14.2,1.6,7.0,28.5,13.6,7.0,2.0,2.0,0.0,José Zapata,SRID=4326;POINT(-98.215619 19.018353),Grocery store (aka. nanostore),no,yes,yes,1 Photo,yes,yes,2012-11-10,Disminuyó 25%,No cambió,yes,En papel,En papel,No los uso,yes,yes,yes,Ninguno,Efectivo,Tarjeta de débito y/o crédito,no,2-5%,2-5%,Aplicación móvil,no,no,20%,Cuaderno,no,Recarga telefónica,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,2%,1-5%,Pura taqueria,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp),Página web del proveedor","Consignación,Crédito,Recompra",0,Cuaderno,"Efectivo,Transferencia interbancaria",yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.),Marcas,Refrigeración","Informar al proveedor,Perder la venta",50% +,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo
42,19.017786,-98.218263,1.0,0.0,6.0,1.0,3.0,2.5,3.0,6.0,13.5,1.6,9.0,28.5,13.6,10.5,2.0,2.0,8.6,José Zapata,SRID=4326;POINT(-98.218263 19.017786),Micro-restaurant (aka. fondita),no,no,yes,1 Photo,yes,yes,2022-09-13,Aumentó 15%,Disminuyó 50% o más,yes,Mentalmente,En papel,No los uso,no,yes,no,Ninguno,Efectivo,Tarjeta de débito y/o crédito,no,2-5%,2-5%,Ninguna,yes,no,20%,Mental,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,ninguna,ninguno,Pura taqueria,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En persona,Descuento por compras anticipadas,0,Mentalmente,Efectivo,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",No se tiene,Precio,Perder la venta,30%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo
43,19.019788,-98.217094,1.0,0.0,0.0,4.0,4.0,2.5,4.0,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0,9.0,José Zapata,SRID=4326;POINT(-98.217094 19.019788),Panadería ,yes,no,yes,1 Photo,yes,yes,1990-11-10,No cambió,Disminuyó 15%,yes,No lo hago,En papel,No los uso,yes,no,no,Ninguno,Efectivo,Tarjeta de débito y/o crédito,no,2-5%,2-5%,Ninguna,no,no,20%,Por temporada de pan,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,ninguna,ninguno,Es exclusivo panadería ,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En persona,Ninguna,0,Ninguna,Efectivo,no,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Precio,Ofrecer un producto sustituto,50% +,De acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo
44,19.0463846914,-98.2025966177,3.0,7.0,4.7,0.0,0.0,7.0,3.0,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0,20.0,Sandra Carreón,SRID=4326;POINT(-98.2025966177 19.0463846914),Grocery store (aka. nanostore),no,no,yes,1 Photo,yes,yes,2021-10-10,No cambió,No cambió,no,Software especializado + computadora,Software especializado + computadora,No los uso,yes,no,no,Llamada a Teléfono celular,Efectivo,Tarjeta de débito y/o crédito,no,2-5%,2-5%,Ninguna,no,no,20%,Sobre demanda ,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,ninguna,ninguno,No creo que represente grandes ingresos,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En persona,Preventa,0,Cuaderno,Efectivo,no,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",Informar al proveedor,10%,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo
45,19.046021086,-98.2037023746,3.0,8.0,4.7,2.0,0.0,2.5,3.8,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,7.0,0.0,Sandra Carreón,SRID=4326;POINT(-98.2037023746 19.046021086),Grocery store (aka. nanostore),no,yes,yes,1 Photo,yes,yes,2000-01-10,No cambió,Aumentó 25%,yes,Software especializado + computadora,Software especializado + computadora,No los uso,yes,no,yes,Físico ,"Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,2-5%,2-5%,Físico ,no,no,20%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,ninguna,ninguno,No quiero involucrarme con la tecnología,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Página web del proveedor,"Consignación,Crédito,Descuento por compras anticipadas,Recompra",0,Software especializado,Efectivo,no,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Frecuencia de venta,Informar al proveedor,30%,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
46,19.0254398,-98.249062,3.0,2.0,10.0,2.1,1.9,2.5,3.8,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0,8.6,Ricardo Galindo Bulos,SRID=4326;POINT(-98.249062 19.0254398),Grocery store (aka. nanostore),no,yes,yes,1 Photo,no,yes,2008-02-01,No cambió,Disminuyó 25%,no,En papel,En papel,No los uso,yes,yes,yes,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,2-5%,2-5%,"Aplicación móvil,Redes sociales",no,no,20%,Ninguna,no,Entrega a domicilio,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,ninguna,ninguno,No quiero involucrarme con la tecnología,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,"En persona,Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Descuento por compras anticipadas,3-5%,Cuaderno,"Efectivo,Transferencia interbancaria",yes,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,10%,Totalmente en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
47,19.0120131,-98.2296442,0.0,0.0,5.0,2.0,2.0,2.5,2.0,3.0,14.2,1.6,9.0,28.5,2.0,2.0,2.0,1.0,0.0,Alan Bravo,SRID=4326;POINT(-98.2296442 19.0120131),Dairy products,yes,no,no,1 Photo,yes,yes,2008-02-01,No cambió,Disminuyó 25%,no,En papel,En papel,No los uso,yes,yes,yes,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,2-5%,2-5%,"Aplicación móvil,Redes sociales",no,no,20%,Ninguna,no,Entrega a domicilio,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,ninguna,ninguno,No quiero involucrarme con la tecnología,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,"En persona,Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Descuento por compras anticipadas,3-5%,Cuaderno,"Efectivo,Transferencia interbancaria",yes,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,10%,Totalmente en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
48,19.0115906,-98.2297252,1.0,2.0,0.0,2.0,2.0,1.0,1.0,7.0,3.0,0.0,9.0,28.5,28.0,28.0,2.0,7.0,3.0,Alan Bravo,SRID=4326;POINT(-98.2297252 19.0115906),Micro-restaurant (aka. fondita),no,no,yes,1 Photo,yes,yes,2021-10-08,No cambió,No cambió,yes,En papel,En papel,No los uso,no,yes,no,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil (e.g. CODI),Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria,Trueque (e.g. comercio o intercambio)",Tarjeta de débito y/o crédito,yes,2-5%,2-5%,"Aplicación móvil,Redes sociales",yes,no,35%,Cuaderno,yes,Entrega a domicilio,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,5%,1-5%,No quiero involucrarme con la tecnología,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Consignación,3-5%,Cuaderno,Efectivo,no,Disminuir la frecuencia de pedidos,Diariamente,"Frecuencia de venta,Refrigeración","Ofrecer un producto sustituto,Perder la venta",10%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo
49,19.011515,-98.2297851,0.0,0.0,1.0,2.1,1.9,2.5,3.8,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0,8.6,Alan Bravo,SRID=4326;POINT(-98.2297851 19.011515),hules,yes,no,no,1 Photo,no,yes,2022-03-15,No cambió,Aumentó 15%,yes,Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),No los uso,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,6-10%,0,"Aplicación móvil,Redes sociales",no,no,15%,Cuaderno,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,1%,1-5%,No quiero involucrarme con la tecnología,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,En persona,Descuento por compras anticipadas,3-5%,Cuaderno,Tarjeta de débito y/o crédito,no,Disminuir la frecuencia de pedidos,Semanalmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",Solicitar tiempo al cliente para conseguir el producto,20%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo
50,19.0114826,-98.2297173,0.0,0.0,2.0,2.0,0.0,2.5,0.0,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0,0.0,Alan Bravo,SRID=4326;POINT(-98.2297173 19.0114826),cosmetiquera ,no,no,no,1 Photo,yes,yes,2022-03-15,No cambió,Aumentó 15%,yes,Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),No los uso,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,6-10%,0,"Aplicación móvil,Redes sociales",no,no,15%,Cuaderno,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,1%,1-5%,No quiero involucrarme con la tecnología,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,En persona,Descuento por compras anticipadas,3-5%,Cuaderno,Tarjeta de débito y/o crédito,no,Disminuir la frecuencia de pedidos,Semanalmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",Solicitar tiempo al cliente para conseguir el producto,20%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo
51,19.035325,-98.2679176,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,9.0,28.5,2.0,0.0,2.0,1.0,5.0,Jorge Mason,SRID=4326;POINT(-98.2679176 19.035325),Cafeteria,no,yes,yes,1 Photo,yes,yes,2020-03-20,Aumentó 25%,Aumentó 15%,yes,En papel,En papel,No los uso,no,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,yes,6-10%,0,Aplicación móvil,yes,no,30%,Cuaderno,no,Entrega a domicilio,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,1%,1-5%,Es muy caro,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Llamada telefónica,"Consignación,Crédito",0,"Aplicación móvil,Cuaderno","Efectivo,Tarjeta de débito y/o crédito",no,Disminuir la frecuencia de pedidos,Diariamente,Margen de utilidad,Ofrecer un producto sustituto,50% +,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo
52,19.0405619362,-98.195357721,2.0,3.0,5.0,2.1,1.9,2.5,3.8,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0,8.6,Emilio Garza,SRID=4326;POINT(-98.195357721 19.0405619362),Grocery store (aka. nanostore),yes,no,yes,1 Photo,no,yes,2020-02-12,No cambió,Aumentó 15%,yes,En Excel,En Excel,No los uso,yes,yes,no,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,yes,6-10%,0,"Aplicación móvil,Redes sociales",no,no,50% +,Excel,yes,Entrega a domicilio,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,6%+,60,Es muy caro,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En persona,Crédito,0,Cuaderno,Efectivo,no,Disminuir la frecuencia de pedidos,Semanalmente,Tamaño,Solicitar tiempo al cliente para conseguir el producto,20%,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
53,19.0409324,-98.1956504,0.0,0.0,2.0,1.0,1.0,2.5,5.0,3.0,14.2,1.6,9.0,28.5,1.0,1.0,2.0,3.0,8.6,Francisco Adán,SRID=4326;POINT(-98.1956504 19.0409324),objetos ,no,yes,no,1 Photo,yes,yes,2020-02-12,No cambió,Aumentó 15%,yes,En Excel,En Excel,No los uso,yes,yes,no,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,yes,6-10%,0,"Aplicación móvil,Redes sociales",no,no,50% +,Excel,yes,Entrega a domicilio,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,6%+,60,Es muy caro,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En persona,Crédito,0,Cuaderno,Efectivo,no,Disminuir la frecuencia de pedidos,Semanalmente,Tamaño,Solicitar tiempo al cliente para conseguir el producto,20%,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
54,19.0411925,-98.1957911,1.0,0.0,3.0,2.1,1.9,2.5,3.8,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0,8.6,Francisco Adán,SRID=4326;POINT(-98.1957911 19.0411925),muebles,no,yes,no,1 Photo,no,yes,2015-03-10,No cambió,No cambió,yes,En Excel,Caja registradora (análoga),No los uso,yes,no,no,Llamada a Teléfono celular,Efectivo,Tarjeta de débito y/o crédito,no,6-10%,0,Cuaderno,no,no,15%,Cuaderno,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,6%+,60,Es muy caro,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En persona,Crédito,0,Cuaderno,Efectivo,no,Disminuir la frecuencia de pedidos,Semanalmente,Frecuencia de venta,Ofrecer un producto sustituto,20%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
55,19.0410812934,-98.1968178758,0.0,0.0,5.0,2.0,2.0,2.5,4.0,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0,0.0,José Oropeza,SRID=4326;POINT(-98.1968178758 19.0410812934),Clothing,no,yes,no,1 Photo,yes,yes,2015-03-10,No cambió,No cambió,yes,En Excel,Caja registradora (análoga),No los uso,yes,no,no,Llamada a Teléfono celular,Efectivo,Tarjeta de débito y/o crédito,no,6-10%,0,Cuaderno,no,no,15%,Cuaderno,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,6%+,60,Es muy caro,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En persona,Crédito,0,Cuaderno,Efectivo,no,Disminuir la frecuencia de pedidos,Semanalmente,Frecuencia de venta,Ofrecer un producto sustituto,20%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
56,19.0410918637,-98.1959696755,0.0,0.0,5.0,2.1,1.9,2.5,3.8,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0,8.6,Emilio Garza,SRID=4326;POINT(-98.1959696755 19.0410918637),Handmade products ,yes,no,no,1 Photo,no,yes,2022-08-17,No cambió,No cambió,yes,"En Excel,En papel","Caja registradora (análoga),En Excel,En papel",No los uso,yes,no,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,6-10%,0,Cuaderno,no,no,5%,"Cuaderno,Excel",no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,6%+,60,No creo que represente grandes ingresos,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Mensajería instantánea (e.g. WhatsApp),Crédito,0,Cuaderno,Efectivo,yes,Disminuir la frecuencia de pedidos,Semanalmente,Precio,Solicitar tiempo al cliente para conseguir el producto,0,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo
57,19.0415447381,-98.1953916586,0.0,0.0,8.0,3.0,1.9,2.5,3.0,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0,8.6,Emilio Garza,SRID=4326;POINT(-98.1953916586 19.0415447381),Rock store,yes,no,no,1 Photo,yes,yes,2022-08-17,No cambió,No cambió,yes,"En Excel,En papel","Caja registradora (análoga),En Excel,En papel",No los uso,yes,no,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,6-10%,0,Cuaderno,no,no,5%,"Cuaderno,Excel",no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,6%+,60,No creo que represente grandes ingresos,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Mensajería instantánea (e.g. WhatsApp),Crédito,0,Cuaderno,Efectivo,yes,Disminuir la frecuencia de pedidos,Semanalmente,Precio,Solicitar tiempo al cliente para conseguir el producto,0,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo
58,19.0418857,-98.1936643,1.0,0.0,2.0,4.0,1.9,2.5,1.0,4.2,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0,8.6,Francisco Adán,SRID=4326;POINT(-98.1936643 19.0418857),ropa,no,yes,no,1 Photo,yes,no,2022-08-17,Disminuyó 15%,No cambió,yes,"En Excel,En papel","Caja registradora (análoga),En Excel,En papel",No los uso,yes,no,yes,Página web propia,Tarjeta de débito y/o crédito,Tarjeta de débito y/o crédito,no,6-10%,0,Redes sociales,no,no,5%,Cuaderno,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,6%+,60,No creo que represente grandes ingresos,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Mensajería instantánea (e.g. WhatsApp),Crédito,0,Cuaderno,Efectivo,yes,Disminuir la frecuencia de pedidos,Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,10%,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo
